Source,Destination,Protocol,Length,Info,label,cluster
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
8073,6622,15,74,28205,1,0
8071,6623,15,74,13621,1,0
8073,6622,15,66,28201,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,28202,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,13615,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,13618,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,13619,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76687,1,1
8071,6623,15,66,13612,1,0
8071,6623,4,96,76716,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,13613,1,0
8071,6623,4,115,77003,1,1
8073,6622,15,74,31776,1,0
8071,6623,15,74,47037,1,0
8073,6622,15,66,31773,1,0
8073,6622,4,72,76639,1,1
8071,6623,15,66,13614,1,0
8071,6623,4,105,76690,1,1
8071,6623,5,193,76533,1,1
8071,6623,15,66,47036,1,0
8073,6622,15,66,31774,1,0
8073,6622,15,66,31775,1,0
8071,6623,15,66,47035,1,0
8071,6623,4,90,76720,1,1
8073,6622,15,66,28203,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,13616,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,13620,1,0
8073,6622,15,66,28204,1,0
8073,6622,15,74,28214,1,0
8071,6623,15,66,13617,1,0
8071,6623,15,74,13631,1,0
8073,6622,15,66,28210,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,28211,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,13625,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,13628,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,13629,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76688,1,1
8071,6623,15,66,13622,1,0
8071,6623,4,97,76717,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,13623,1,0
8071,6623,4,114,77113,1,1
8073,6622,15,74,39765,1,0
8071,6623,15,74,6635,1,0
8073,6622,15,66,39762,1,0
8073,6622,4,83,76648,1,1
8071,6623,15,66,13624,1,0
8071,6623,4,135,76698,1,1
8071,6623,5,166,76529,1,1
8071,6623,15,66,6634,1,0
8073,6622,15,66,39763,1,0
8073,6622,15,66,39764,1,0
8071,6623,15,66,6633,1,0
8071,6623,4,90,76721,1,1
8073,6622,15,66,28212,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,13626,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,13630,1,0
8073,6622,15,66,28213,1,0
8071,6623,15,66,13627,1,0
10156,8380,3,79,77304,1,1
10156,8380,3,79,77342,1,1
24086,18749,0,60,77619,1,1
24084,18756,0,42,11328,1,0
10159,8377,3,161,77493,1,1
10159,8377,3,202,77529,1,1
10156,3127,15,74,28669,1,0
3881,8377,15,60,32967,1,0
10156,3127,15,54,28665,1,0
10156,3127,16,588,76405,1,1
3881,8377,15,60,32962,1,0
3881,8377,16,4193,77225,1,1
10156,3127,15,54,28667,1,0
10156,3127,16,212,76406,1,1
3881,8377,15,60,32963,1,0
3881,8377,16,396,76636,1,1
10156,3127,16,554,76396,1,1
3881,8377,15,60,32964,1,0
10156,8380,3,79,77333,1,1
10156,8380,3,79,77362,1,1
10159,8377,3,180,77520,1,1
10159,8377,3,164,77545,1,1
10156,3127,15,74,28679,1,0
3881,8377,15,60,32973,1,0
10156,3127,15,54,28675,1,0
10156,3127,16,588,76405,1,1
3881,8377,15,60,32968,1,0
3881,8377,16,2157,76397,1,1
10156,3127,15,54,28666,1,0
10156,3127,16,85,76526,1,1
3881,8377,15,60,32965,1,0
10156,3127,15,54,28668,1,0
3881,8377,15,60,32966,1,0
3881,8377,16,4193,77225,1,1
10156,3127,15,54,28677,1,0
10156,3127,16,212,76406,1,1
3881,8377,15,60,32969,1,0
3881,8377,16,396,76636,1,1
10156,3127,16,558,76396,1,1
3881,8377,15,60,32970,1,0
3881,8377,16,2993,76398,1,1
10156,3127,15,54,28676,1,0
10156,3127,16,85,76526,1,1
3881,8377,15,60,32971,1,0
10156,3127,15,54,28678,1,0
3881,8377,15,60,32972,1,0
10156,6226,15,74,26601,1,0
7610,8377,15,60,63196,1,1
10156,8380,3,101,77409,1,1
10156,8380,3,101,77412,1,1
10156,6226,15,74,26612,1,0
7610,8377,15,60,63199,1,1
10159,8377,3,362,77593,1,1
10159,8377,3,308,77591,1,1
10156,8380,3,101,77250,1,1
10156,8380,3,101,77379,1,1
10156,8797,15,74,26188,1,0
10159,8377,3,343,77442,1,1
10159,8377,3,327,77562,1,1
10156,8797,15,74,26198,1,0
10656,8377,15,60,32813,1,0
10656,8377,15,60,32820,1,0
10156,8797,15,54,26184,1,0
10156,8797,15,54,26194,1,0
10156,8797,16,571,76405,1,1
10656,8377,15,60,32807,1,0
10156,8797,16,571,76405,1,1
10656,8377,15,60,32814,1,0
10656,8377,15,4434,32815,1,0
10656,8377,16,60,77225,1,1
10156,8797,15,54,26195,1,0
10156,8797,15,54,26196,1,0
10156,8797,16,212,76406,1,1
10656,8377,15,60,32816,1,0
10656,8377,15,4434,32808,1,0
10656,8377,16,60,77225,1,1
10156,8797,15,54,26185,1,0
10156,8797,15,54,26186,1,0
10156,8797,16,212,76406,1,1
10656,8377,15,60,32809,1,0
10156,8380,3,79,77298,1,1
10156,8380,3,79,77311,1,1
10159,8377,3,180,77487,1,1
10159,8377,3,164,77500,1,1
10156,3127,15,74,28689,1,0
3881,8377,15,60,32979,1,0
10156,3127,15,54,28685,1,0
10156,3127,16,588,76405,1,1
3881,8377,15,60,32974,1,0
10656,8377,16,105,76403,1,1
10156,8797,16,285,76396,1,1
10656,8377,15,60,32817,1,0
10656,8377,16,105,76403,1,1
10156,8797,16,889,76396,1,1
10656,8377,15,60,32810,1,0
3881,8377,16,4193,77225,1,1
10156,3127,15,54,28687,1,0
10156,3127,16,212,76406,1,1
3881,8377,15,60,32975,1,0
3881,8377,16,396,76636,1,1
10156,3127,16,564,76396,1,1
3881,8377,15,60,32976,1,0
10656,8377,16,483,76397,1,1
10156,8797,16,85,76526,1,1
10656,8377,15,60,32818,1,0
10156,8797,15,54,26197,1,0
10656,8377,15,60,32819,1,0
10656,8377,16,483,76397,1,1
10156,8797,16,85,76526,1,1
10656,8377,15,60,32811,1,0
10156,8797,15,54,26187,1,0
10656,8377,15,60,32812,1,0
3881,8377,16,2120,76397,1,1
10156,3127,15,54,28686,1,0
10156,3127,16,85,76526,1,1
10156,3127,15,54,28688,1,0
3881,8377,15,60,32977,1,0
3881,8377,15,60,32978,1,0
10156,8380,3,79,77283,1,1
10156,8380,3,79,77288,1,1
10159,8377,3,180,77473,1,1
10159,8377,3,164,77478,1,1
10156,3127,15,74,28694,1,0
3881,8377,15,60,32985,1,0
10156,3127,15,54,28690,1,0
10156,3127,16,588,76405,1,1
3881,8377,15,60,32980,1,0
3881,8377,16,4193,77225,1,1
10156,3127,15,54,28692,1,0
10156,3127,16,212,76406,1,1
3881,8377,15,60,32981,1,0
3881,8377,16,396,76636,1,1
10156,3127,16,556,76396,1,1
3881,8377,15,60,32982,1,0
3881,8377,16,2119,76397,1,1
10156,3127,15,54,28691,1,0
