"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.16.0.4","172.16.208.128","TCP","74","50238  >  4444 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1428350659 TSecr=0 WS=128"
"2","0.000083201","172.16.208.128","172.16.0.4","TCP","54","4444  >  50238 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.800410302","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"4","0.846284656","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"5","0.800409102","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"6","0.846415858","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"7","10.806324590","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"8","10.806422092","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"9","10.852934055","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"10","10.852824353","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"11","11.913517237","172.16.0.4","172.16.208.128","TCP","74","47902  >  4444 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1428362572 TSecr=0 WS=128"
"12","11.915724278","192.168.174.128","192.168.174.2","DNS","83","Standard query 0x8690 PTR 4.0.16.172.in-addr.arpa"
"13","11.913609939","172.16.208.128","172.16.0.4","TCP","74","4444  >  47902 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=165176915 TSecr=1428362572 WS=128"
"14","11.919820054","192.168.174.2","192.168.174.128","DNS","83","Standard query response 0x8690 No such name PTR 4.0.16.172.in-addr.arpa"
"15","11.914589757","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1428362573 TSecr=165176915"
"16","20.810953103","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"17","20.810932203","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"18","20.858275978","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"19","20.858197977","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"20","22.051820461","172.16.208.128","172.16.0.4","TCP","69","4444  >  47902 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=3 TSval=165187053 TSecr=1428362573"
