"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"2","0.046695188","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"3","-0.000150102","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"4","0.046842190","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"5","10.010353387","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"6","10.010592891","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"7","10.051702997","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"8","10.051666997","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"9","13.418918877","192.168.174.128","209.115.181.110","NTP","90","NTP Version 4, client"
"10","13.481195896","209.115.181.110","192.168.174.128","NTP","90","NTP Version 4, server"
"11","20.024161369","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"12","20.055206299","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"13","20.024122368","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"14","20.054930393","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"15","30.025937901","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"16","30.067294467","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"17","30.025925701","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"18","30.067631176","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"19","34.873884539","192.168.174.130","192.168.174.254","DHCP","385","DHCP Request  - Transaction ID 0xb2b0dff4"
"20","34.873901539","192.168.174.254","192.168.174.130","DHCP","347","DHCP ACK      - Transaction ID 0xb2b0dff4"
"21","34.875035066","VMware_79:c9:06","Broadcast","ARP","60","ARP Announcement for 192.168.174.130"
"22","35.352138289","192.168.174.128","152.199.4.33","TCP","54","52658  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"23","36.566313686","172.16.0.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"24","36.566330587","192.168.174.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"25","36.878471760","VMware_79:c9:06","Broadcast","ARP","60","ARP Announcement for 192.168.174.130"
"26","37.009991123","192.168.174.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"27","37.010042624","172.16.0.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
